year,title,artist,price,techniques,Unframed Dimensions,Unframed Dimensions (inch),tags,support,encadrement,image_filename
2024,MB 81,Méryl B,890 €,"acrylique, Pigment naturel",116 x 89 x 3 cm,45.7 x 35 x 1.2 inch,"Abstrait, Œuvres d'art couleurs, vert, rose, Artistes inspirés par Rothko, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,MB 81_Méryl B_2024.jpg
2024,Style Mondrian Triptyque,Bernard Saint-Maxent,870 €,"acrylique, résine, assemblage, techniques mixtes",87 x 24 x 3 cm,34.3 x 9.4 x 1.2 inch,"Scène de vie, Oeuvres d'art Pop art, Œuvres d'art couleurs, Joie, Mondrian, Oeuvres Triptyques, Blanc, doré, Sculpteurs pop colorés, Compositions avec personnage de fiction, L'art concret, Young British Artists (YBAs), Déconstructivisme, Artistes Sculpteurs, Artistes Peintres, Artistes Français",Not Found,Cadre noir,Style Mondrian Triptyque_Bernard Saint-Maxent_2024.jpg
2024,Style Mondrian Triptyque,Bernard Saint-Maxent,870 €,"acrylique, résine, assemblage, techniques mixtes",87 x 24 x 3 cm,34.3 x 9.4 x 1.2 inch,"Scène de vie, Oeuvres d'art Pop art, Œuvres d'art couleurs, Joie, Mondrian, Oeuvres Triptyques, Blanc, doré, Sculpteurs pop colorés, Compositions avec personnage de fiction, L'art concret, Young British Artists (YBAs), Déconstructivisme, Artistes Sculpteurs, Artistes Peintres, Artistes Français",Not Found,Cadre noir,Style Mondrian Triptyque_Bernard Saint-Maxent_2024.jpg
2021,Partition smantique 2,Goulwen (Leyto) Mahé,1 750 €,"acrylique, encre",81 x 100 x 2 cm,31.9 x 39.4 x 0.8 inch,"Abstrait, Street art, Calligraphie, Œuvres d'art couleurs, Symboles, orange, Street-artistes abstraits, Calligraphie arabe, Artistes Peintres, Artistes Français",Peinture sur toile  sans chassis (envoyée roulée),Non encadrée,Partition smantique 2_Goulwen (Leyto) Mahé_2021.jpg
2021,Partition smantique 2,Goulwen (Leyto) Mahé,1 750 €,"acrylique, encre",81 x 100 x 2 cm,31.9 x 39.4 x 0.8 inch,"Abstrait, Street art, Calligraphie, Œuvres d'art couleurs, Symboles, orange, Street-artistes abstraits, Calligraphie arabe, Artistes Peintres, Artistes Français",Peinture sur toile  sans chassis (envoyée roulée),Non encadrée,Partition smantique 2_Goulwen (Leyto) Mahé_2021.jpg
2024,Encrypted,Antony Squizzato,2 000 €,acrylique,60 x 60 x 2 cm,23.6 x 23.6 x 0.8 inch,"Abstrait, Géométrique, Œuvres d'art couleurs, multicolore, bleu foncé, vert, Street-artistes abstraits, Peintres géométriques colorés, Artistes Sculpteurs, Artistes Peintres, Artistes Dessinateurs, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Encrypted_Antony Squizzato_2024.jpg
2024,Encrypted,Antony Squizzato,2 000 €,acrylique,60 x 60 x 2 cm,23.6 x 23.6 x 0.8 inch,"Abstrait, Géométrique, Œuvres d'art couleurs, multicolore, bleu foncé, vert, Street-artistes abstraits, Peintres géométriques colorés, Artistes Sculpteurs, Artistes Peintres, Artistes Dessinateurs, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Encrypted_Antony Squizzato_2024.jpg
2024,Wood,Nathanael Koffi,2 000 €,"acrylique, ciment",55 x 45 x 2 cm,21.7 x 17.7 x 0.8 inch,"Abstrait, Art abstrait, Impasto, marron, vert, Montages avec aplats de couleurs, Artistes Sculpteurs, Artistes Peintres, Artistes en éditions, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Wood_Nathanael Koffi_2024.jpg
2024,Wood,Nathanael Koffi,2 000 €,"acrylique, ciment",55 x 45 x 2 cm,21.7 x 17.7 x 0.8 inch,"Abstrait, Art abstrait, Impasto, marron, vert, Montages avec aplats de couleurs, Artistes Sculpteurs, Artistes Peintres, Artistes en éditions, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Wood_Nathanael Koffi_2024.jpg
2024,Cathdrale  Demeure,Marie-Odile Wagner,850 €,acrylique,80 x 80 x 1.5 cm,31.5 x 31.5 x 0.6 inch,"Abstrait, Minimalisme, Géométrique, Cathédrale, Cercle, Lignes, Minimalisme Abstrait, bleu foncé, Graphisme abstrait, Artistes Sculpteurs, Artistes Peintres, Artistes en éditions, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Cathdrale  Demeure_Marie-Odile Wagner_2024.jpg
2024,Cathdrale  Demeure,Marie-Odile Wagner,850 €,acrylique,80 x 80 x 1.5 cm,31.5 x 31.5 x 0.6 inch,"Abstrait, Minimalisme, Géométrique, Cathédrale, Cercle, Lignes, Minimalisme Abstrait, bleu foncé, Graphisme abstrait, Artistes Sculpteurs, Artistes Peintres, Artistes en éditions, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Cathdrale  Demeure_Marie-Odile Wagner_2024.jpg
2025,Rve nocturne,Âme Sauvage,650 €,"peinture aérosol, acrylique",73 x 60 x 2.4 cm,28.7 x 23.6 x 0.9 inch,"Abstrait, Art abstrait, Œuvres d'art couleurs, Expressionnisme abstrait, multicolore, vert, rose, Abstraction gestuelle, Explosions de couleurs, Artistes Sculpteurs, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Rve nocturne_Âme Sauvage_2025.jpg
2025,Rve nocturne,Âme Sauvage,650 €,"peinture aérosol, acrylique",73 x 60 x 2.4 cm,28.7 x 23.6 x 0.9 inch,"Abstrait, Art abstrait, Œuvres d'art couleurs, Expressionnisme abstrait, multicolore, vert, rose, Abstraction gestuelle, Explosions de couleurs, Artistes Sculpteurs, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Rve nocturne_Âme Sauvage_2025.jpg
2024,A good Flick Stretched,Nikolaos Schizas,3 200 €,"acrylique, résine",130 x 97 x 2 cm,51.2 x 38.2 x 0.8 inch,"Abstrait, Art abstrait, Œuvres d'art couleurs, Vagues, multicolore, jaune, bleu foncé, Peintres géométriques colorés, Abstraction gestuelle, Process art, Artistes Peintres, Artistes Espagnols",Peinture sur toile sur chassis,Non encadrée,A good Flick Stretched_Nikolaos Schizas_2024.jpg
2024,A good Flick Stretched,Nikolaos Schizas,3 200 €,"acrylique, résine",130 x 97 x 2 cm,51.2 x 38.2 x 0.8 inch,"Abstrait, Art abstrait, Œuvres d'art couleurs, Vagues, multicolore, jaune, bleu foncé, Peintres géométriques colorés, Abstraction gestuelle, Process art, Artistes Peintres, Artistes Espagnols",Peinture sur toile sur chassis,Non encadrée,A good Flick Stretched_Nikolaos Schizas_2024.jpg
2024,Untold story,Francesca Borgo,1 956 €,"acrylique, Liant Acrylique, sable",70 x 80 x 3 cm,27.6 x 31.5 x 1.2 inch,"Abstrait, Paysage, Paysages de montagne, Nuages, Rêve, Vagues, Blanc, Gris, Peintres abstraits sombres, Artistes abstraits japonisants, Artistes abstraits 4 éléments, Artistes Peintres, Artistes Italiens",Peinture sur toile sur chassis,Non encadrée,Untold story_Francesca Borgo_2024.jpg
2024,Untold story,Francesca Borgo,1 956 €,"acrylique, Liant Acrylique, sable",70 x 80 x 3 cm,27.6 x 31.5 x 1.2 inch,"Abstrait, Paysage, Paysages de montagne, Nuages, Rêve, Vagues, Blanc, Gris, Peintres abstraits sombres, Artistes abstraits japonisants, Artistes abstraits 4 éléments, Artistes Peintres, Artistes Italiens",Peinture sur toile sur chassis,Non encadrée,Untold story_Francesca Borgo_2024.jpg
2024,Stimulus 4,Gina Vor,400 €,acrylique,45 x 45 x 2 cm,17.7 x 17.7 x 0.8 inch,"Abstrait, Géométrique, Abstraction géométrique, Œuvres d'art couleurs, bleu foncé, Rouge, Abstraction gestuelle, Artistes abstraits japonisants, Lignes spontanées, Artistes Peintres, Artistes Photographes, Artistes Dessinateurs, Artistes Suisses",Peinture sur toile sur chassis,Non encadrée,Stimulus 4_Gina Vor_2024.jpg
2024,Stimulus 4,Gina Vor,400 €,acrylique,45 x 45 x 2 cm,17.7 x 17.7 x 0.8 inch,"Abstrait, Géométrique, Abstraction géométrique, Œuvres d'art couleurs, bleu foncé, Rouge, Abstraction gestuelle, Artistes abstraits japonisants, Lignes spontanées, Artistes Peintres, Artistes Photographes, Artistes Dessinateurs, Artistes Suisses",Peinture sur toile sur chassis,Non encadrée,Stimulus 4_Gina Vor_2024.jpg
2024,Gainsbourg Gainsbarg et homme blanc,Jérôme Mesnager,1 000 €,"peinture aérosol, collage, affiche",40 x 30 x 0.02 cm,15.7 x 11.8 x 0 inch,"Street art, Oeuvres d'art Pop art, Serge Gainsbourg, Blanc, noir, Street Artistes célèbres, Street art insouciant, Artistes Sculpteurs, Artistes Peintres, Artistes en éditions, Artistes Dessinateurs, Artistes Français",Not Found,Cadre noir,Gainsbourg Gainsbarg et homme blanc_Jérôme Mesnager_2024.jpg
2024,Gainsbourg Gainsbarg et homme blanc,Jérôme Mesnager,1 000 €,"peinture aérosol, collage, affiche",40 x 30 x 0.02 cm,15.7 x 11.8 x 0 inch,"Street art, Oeuvres d'art Pop art, Serge Gainsbourg, Blanc, noir, Street Artistes célèbres, Street art insouciant, Artistes Sculpteurs, Artistes Peintres, Artistes en éditions, Artistes Dessinateurs, Artistes Français",Not Found,Cadre noir,Gainsbourg Gainsbarg et homme blanc_Jérôme Mesnager_2024.jpg
2024,Divin6,Charlotte Orel,1 800 €,"acrylique, Pigment naturel, cendre, vin rouge",65 x 81 x 4 cm,25.6 x 31.9 x 1.6 inch,"Abstrait, Œuvres d'art couleurs, doré, Explorations abstraites, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Divin6_Charlotte Orel_2024.jpg
2024,Divin6,Charlotte Orel,1 800 €,"acrylique, Pigment naturel, cendre, vin rouge",65 x 81 x 4 cm,25.6 x 31.9 x 1.6 inch,"Abstrait, Œuvres d'art couleurs, doré, Explorations abstraites, Artistes Peintres, Artistes Français",Peinture sur toile sur chassis,Non encadrée,Divin6_Charlotte Orel_2024.jpg
2024,Je men remets au vent,David Jamin,800 €,acrylique,60 x 50 x 1 cm,23.6 x 19.7 x 0.4 inch,"Portrait, Figuratif, Œuvres d'art couleurs, Mouvement, Visages, noir, jaune, Portraitistes Scène de vie, Formes humaines aux traits fins, Artistes Peintres, Artistes Français",Not Found,Cadre avec vitre en verre noir,Je men remets au vent_David Jamin_2024.jpg
2024,Je men remets au vent,David Jamin,800 €,acrylique,60 x 50 x 1 cm,23.6 x 19.7 x 0.4 inch,"Portrait, Figuratif, Œuvres d'art couleurs, Mouvement, Visages, noir, jaune, Portraitistes Scène de vie, Formes humaines aux traits fins, Artistes Peintres, Artistes Français",Not Found,Cadre avec vitre en verre noir,Je men remets au vent_David Jamin_2024.jpg
